Date,Open,High,Low,Close,Volume,OpenInt
06-07-2012,18.119,18.177,18.027,18.11,239141,0
09-07-2012,18.11,18.3,18.072,18.274,311825,0
10-07-2012,18.229,18.369,18.027,18.078,480426,0
11-07-2012,18.059,18.222,17.948,18.177,264766,0
12-07-2012,18.102,18.326,18.041,18.326,137511,0
13-07-2012,18.333,18.464,18.326,18.412,213733,0
16-07-2012,18.412,18.556,18.393,18.524,124717,0
17-07-2012,18.488,18.564,18.429,18.564,125137,0
18-07-2012,18.539,18.689,18.504,18.667,216403,0
19-07-2012,18.673,18.77,18.667,18.74,157447,0
20-07-2012,18.703,18.851,18.673,18.822,174394,0
23-07-2012,18.74,18.749,18.547,18.556,207141,0
24-07-2012,18.59,18.608,18.437,18.524,209235,0
25-07-2012,18.524,18.65,18.504,18.636,136863,0
26-07-2012,18.65,18.689,18.584,18.673,241559,0
27-07-2012,18.623,18.749,18.616,18.74,114793,0
30-07-2012,18.734,18.882,18.703,18.8,100749,0
31-07-2012,18.86,18.867,18.599,18.599,159699,0
01-08-2012,18.695,18.74,18.584,18.673,59244,0
02-08-2012,18.673,18.77,18.667,18.77,61406,0
03-08-2012,18.785,18.896,18.778,18.822,101745,0
06-08-2012,18.911,18.933,18.785,18.896,210799,0
07-08-2012,18.86,18.911,18.822,18.873,90541,0
08-08-2012,18.867,18.92,18.851,18.86,89286,0
09-08-2012,18.896,18.962,18.873,18.948,76465,0
